year,road,PedalCycles,Motorcycles,CarsTaxis,bus,AllHGVs,AllMotorVehicles
2001,A1,1982,30427,4019299,29771,773461,5436004
2001,A1(M),0,966,139544,1585,28580,192666
2001,A10,2730,9847,546888,6542,42564,686002
2001,A100,443,809,11370,372,674,15342
2001,A1000,698,2028,119263,1882,3468,141131
2001,A1001,49,201,16224,222,1101,19728
2001,A1003,48,211,18290,282,338,21647
2001,A1004,31,86,8536,313,167,9864
2001,A1005,47,235,18639,203,558,21776
2001,A1006,145,216,9944,318,671,12864
2001,A1008,12,26,1991,110,48,2436
2001,A1009,62,302,21372,364,439,25580
2001,A101,18,410,13741,72,97,16662
2001,A1010,468,683,39088,1580,1111,47691
2001,A1011,78,123,12553,604,662,15774
2001,A1012,52,101,7996,61,479,9676
2001,A1013,120,384,26763,546,858,31532
2001,A1014,45,111,5306,11,1657,7924
2001,A1015,123,191,15611,301,201,18186
2001,A1016,166,458,26115,207,754,29868
2001,A1017,36,399,30056,265,2706,39178
2001,A1018,309,279,55208,2861,1532,65951
2001,A1019,24,32,4583,177,128,5342
2001,A102,204,4154,76153,903,6932,103305
2001,A1020,60,1008,54621,727,3981,68626
2001,A1021,311,108,4469,73,26,5020
2001,A1022,138,248,9431,107,185,11126
2001,A1023,101,235,25644,363,863,29955
2001,A1024,180,209,7507,143,176,9366
2001,A1025,118,139,11276,274,293,13108
2001,A1027,156,225,31866,323,887,36506
2001,A1028,2,24,4838,60,305,5904
2001,A1029,108,170,11998,110,1266,15372
2001,A103,334,551,18192,467,595,22378
2001,A1031,331,391,30177,313,836,35772
2001,A1032,217,214,23079,443,400,26824
2001,A1033,1293,2968,104488,1143,6621,127630
2001,A1034,30,197,11512,107,1260,14449
2001,A1035,41,416,24257,99,1239,28861
2001,A1036,2025,720,39651,1051,937,46766
2001,A1037,8,123,7747,64,279,9402
2001,A1038,95,41,5423,199,86,6299
2001,A1039,61,154,12206,118,507,14688
2001,A104,1518,3268,93797,2225,3294,115150
2001,A1041,199,510,21218,254,1680,26557
2001,A1042,323,517,40793,397,1788,49461
2001,A1043,8,55,4548,28,279,5468
2001,A1044,65,268,15468,137,354,17579
2001,A1045,86,115,7168,108,271,8469
2001,A1046,88,236,20054,183,1837,26186
2001,A1048,28,5,1163,43,53,1397
2001,A1049,73,44,4889,314,163,5963
2001,A105,1128,1688,72672,2160,1636,86347
2001,A1052,55,60,9804,228,455,11958
2001,A1053,27,72,8202,45,1736,11162
2001,A1054,17,41,4248,44,187,5066
2001,A1055,188,1404,63383,797,7177,84902
2001,A1056,113,159,24394,287,1217,29035
2001,A1057,196,199,20446,571,715,23931
2001,A1058,192,702,103794,930,1831,117161
2001,A1059,9,6,916,18,13,1037
2001,A106,381,837,26900,446,1499,33965
2001,A1060,189,782,65743,773,2169,77847
2001,A1061,75,130,13557,116,293,15478
2001,A1062,57,145,6747,94,88,7861
2001,A1064,35,444,27303,292,1250,32942
2001,A1065,161,840,83151,689,9108,105629
2001,A1066,500,548,41053,392,4692,53581
2001,A1067,342,945,71149,1066,4365,88135
2001,A1068,293,703,63760,801,3488,76351
2001,A1069,34,144,6001,157,115,6888
2001,A107,720,690,32851,1831,1560,41048
2001,A1070,1,8,1412,29,26,1590
2001,A1071,349,763,50309,825,2643,61565
2001,A1072,220,287,25462,208,1097,30231
2001,A1073,14,357,30621,219,4556,41062
2001,A1074,392,574,25262,552,1416,31841
2001,A1075,231,729,45979,426,2998,57467
2001,A1076,17,44,5883,148,85,6669
2001,A1077,158,470,41105,514,5362,54215
2001,A1078,90,80,12693,158,895,15005
2001,A1079,1901,2070,149577,2156,13759,188017
2001,A1080,29,171,6965,262,203,8788
2001,A1081,365,1014,94850,1052,3157,110013
2001,A1082,9,29,3029,36,69,3473
2001,A1083,151,343,20137,690,385,23680
2001,A1084,33,117,6933,66,413,8697
2001,A1085,598,561,45757,925,1488,54119
