year,road,PedalCycles,Motorcycles,CarsTaxis,bus,AllHGVs,AllMotorVehicles
2001,A1,209,209,209,209,209,209
2001,A1(M),1,1,1,1,1,1
2001,A10,58,58,58,58,58,58
2001,A100,6,6,6,6,6,6
2001,A1000,31,31,31,31,31,31
2001,A1001,4,4,4,4,4,4
2001,A1003,4,4,4,4,4,4
2001,A1004,2,2,2,2,2,2
2001,A1005,3,3,3,3,3,3
2001,A1006,2,2,2,2,2,2
2001,A1008,1,1,1,1,1,1
2001,A1009,5,5,5,5,5,5
2001,A101,2,2,2,2,2,2
2001,A1010,7,7,7,7,7,7
2001,A1011,2,2,2,2,2,2
2001,A1012,3,3,3,3,3,3
2001,A1013,5,5,5,5,5,5
2001,A1014,2,2,2,2,2,2
2001,A1015,3,3,3,3,3,3
2001,A1016,4,4,4,4,4,4
2001,A1017,7,7,7,7,7,7
2001,A1018,22,22,22,22,22,22
2001,A1019,1,1,1,1,1,1
2001,A102,6,6,6,6,6,6
2001,A1020,6,6,6,6,6,6
2001,A1021,1,1,1,1,1,1
2001,A1022,5,5,5,5,5,5
2001,A1023,4,4,4,4,4,4
2001,A1024,2,2,2,2,2,2
2001,A1025,2,2,2,2,2,2
2001,A1027,4,4,4,4,4,4
2001,A1028,1,1,1,1,1,1
2001,A1029,4,4,4,4,4,4
2001,A103,8,8,8,8,8,8
2001,A1031,4,4,4,4,4,4
2001,A1032,6,6,6,6,6,6
2001,A1033,10,10,10,10,10,10
2001,A1034,2,2,2,2,2,2
2001,A1035,2,2,2,2,2,2
2001,A1036,18,18,18,18,18,18
2001,A1037,1,1,1,1,1,1
2001,A1038,1,1,1,1,1,1
2001,A1039,2,2,2,2,2,2
2001,A104,25,25,25,25,25,25
2001,A1041,5,5,5,5,5,5
2001,A1042,8,8,8,8,8,8
2001,A1043,2,2,2,2,2,2
2001,A1044,4,4,4,4,4,4
2001,A1045,1,1,1,1,1,1
2001,A1046,3,3,3,3,3,3
2001,A1048,1,1,1,1,1,1
2001,A1049,2,2,2,2,2,2
2001,A105,14,14,14,14,14,14
2001,A1052,3,3,3,3,3,3
2001,A1053,3,3,3,3,3,3
2001,A1054,1,1,1,1,1,1
2001,A1055,7,7,7,7,7,7
2001,A1056,9,9,9,9,9,9
2001,A1057,3,3,3,3,3,3
2001,A1058,7,7,7,7,7,7
2001,A1059,1,1,1,1,1,1
2001,A106,14,14,14,14,14,14
2001,A1060,15,15,15,15,15,15
2001,A1061,3,3,3,3,3,3
2001,A1062,1,1,1,1,1,1
2001,A1064,1,1,1,1,1,1
2001,A1065,9,9,9,9,9,9
2001,A1066,7,7,7,7,7,7
2001,A1067,10,10,10,10,10,10
2001,A1068,11,11,11,11,11,11
2001,A1069,3,3,3,3,3,3
2001,A107,13,13,13,13,13,13
2001,A1070,1,1,1,1,1,1
2001,A1071,4,4,4,4,4,4
2001,A1072,4,4,4,4,4,4
2001,A1073,4,4,4,4,4,4
2001,A1074,4,4,4,4,4,4
2001,A1075,6,6,6,6,6,6
2001,A1076,1,1,1,1,1,1
2001,A1077,10,10,10,10,10,10
2001,A1078,3,3,3,3,3,3
2001,A1079,13,13,13,13,13,13
2001,A1080,2,2,2,2,2,2
2001,A1081,18,18,18,18,18,18
2001,A1082,1,1,1,1,1,1
2001,A1083,2,2,2,2,2,2
2001,A1084,3,3,3,3,3,3
2001,A1085,8,8,8,8,8,8
2001,A1086,8,8,8,8,8,8
2001,A1087,1,1,1,1,1,1
2001,A1088,5,5,5,5,5,5
2001,A1089,7,7,7,7,7,7
2001,A109,7,7,7,7,7,7
2001,A1090,3,3,3,3,3,3
2001,A1092,3,3,3,3,3,3
2001,A1094,3,3,3,3,3,3
2001,A1095,1,1,1,1,1,1
2001,A1096,2,2,2,2,2,2
2001,A1098,2,2,2,2,2,2
2001,A1099,3,3,3,3,3,3
2001,A11,39,39,39,39,39,39
2001,A110,14,14,14,14,14,14
2001,A1101,18,18,18,18,18,18
2001,A1103,1,1,1,1,1,1
2001,A1104,4,4,4,4,4,4
2001,A1105,6,6,6,6,6,6
